AER,KZN,8203
ZYL,DAC,6906
ZYL,DAC,6893
ZYL,DAC,6349
ZYL,DAC,1769
ZYI,KMG,2672
ZYI,SHA,6651
ZYI,PEK,2868
ZYI,CAN,7030
ZYI,PEK,6689
ZYI,SZX,3239
ZYI,CTU,2002
ZYI,CSX,2584
ZYI,HAK,1161
ZYI,SYX,3834
ZYI,XIY,2649
ZYI,XMN,2269
ZYI,NKG,6668
ZYI,WUH,6248
ZYI,PEK,1128
ZVK,BKK,2337
ZVK,PKZ,6651
ZVK,VTE,2918
ZUM,YWK,1436
ZUM,YYR,8157
ZUH,CZX,9481
ZUH,HAK,2945
ZUH,PVG,8938
ZUH,SHA,2183
ZUH,SYX,7682
ZUH,TSN,7134
ZUH,CKG,2864
ZUH,CTU,1147
ZUH,FOC,7610
ZUH,HYN,5897
ZUH,KHN,8369
ZUH,KWE,9136
ZUH,NNG,3433
ZUH,PEK,3254
ZUH,WNZ,9463
ZUH,XMN,8032
ZUH,CGO,7215
ZUH,CSX,8796
ZUH,FOC,8946
ZUH,HAK,5754
ZUH,HFE,7057
ZUH,HGH,2720
ZUH,KHN,1744
ZUH,KMG,9411
ZUH,KWE,4283
ZUH,MXZ,7855
ZUH,PEK,3202
ZUH,PVG,1253
ZUH,SHA,5288
ZUH,SWA,7458
ZUH,SYX,1655
ZUH,WUH,1671
ZUH,XMN,8261
ZUH,YIW,3045
ZUH,PVG,3030
ZUH,LZH,5130
ZUH,WUZ,6906
ZUH,HAK,2394
ZUH,KOW,1020
ZUH,KWL,4637
ZUH,PVG,5891
ZUH,SHA,9658
ZUH,FOC,1624
ZUH,XMN,8487
ZUH,PVG,5044
ZUH,SHA,9603
ZUH,NGB,5638
ZUH,CGO,4203
ZUH,CKG,9313
ZUH,KHN,7600
ZUH,KWE,7627
ZUH,NNG,2386
ZUH,WNZ,1716
ZUH,XMN,4421
ZUH,CKG,5563
ZUH,CTU,9146
ZUH,FOC,2747
ZUH,HYN,1100
ZUH,NNG,4195
ZUH,PEK,8321
ZTH,ATH,1968
ZTH,DUS,8911
ZTH,MUC,1295
ZTH,VIE,6046
ZTH,MAN,7046
ZTH,CRL,7843
ZTH,EFL,4327
ZTH,KIT,7470
ZTH,VIE,7792
ZTH,BRU,7471
ZTH,AMS,2348
ZTH,LBA,5078
ZTH,MAN,3243
ZTH,ATH,7506
ZTH,LGW,9201
